Task,Next due date,Last done,Frequency,Dominant,Moved from
Ryd op,2024-10-19,2024-10-12,1,recurring,
Vand blomster,2024-10-19,2024-10-12,1,recurring,
Gør toilettet rent,2024-10-19,2024-10-12,1,recurring,
Støvsug på badeværelset,2024-11-02,2024-10-12,1,,
Skift sengetøj,2024-11-23,2024-10-12,2,,
Støvsug panelerne og hjørnerne,2024-10-26,2024-9-14,2,,
Vaske gulv i køkken og badeværelse,2024-11-30,2024-10-5,4,,
Vaske køkken facader,2024-11-30,2024-10-5,4,,
Vask køkkenvasken og amartur,2024-11-30,2024-10-5,4,,
Vaske og afkalke brusekabine,2024-12-07,2024-10-12,4,,
Tømme afløb i bruseren,2024-12-07,2024-10-12,4,,
Tømme tørretumbler filter,2024-12-07,2024-10-12,4,,
Tørre vask og amartur af i badeværelset,2024-12-07,2024-10-12,4,,
Pudse vinduer,2024-11-23,2024-9-28,4,,
Pudse spejle,2024-11-23,2024-9-28,4,,
Tørre vinduer af for mug,2024-11-23,2024-9-28,4,,
Tørre vandrette overflader af for støv,2024-10-26,2024-8-31,4,,
Vask overflader af,2024-10-26,2024-8-31,4,,
Afkalk elkedel og kaffemaskine,2024-12-14,2024-10-5,6,,
Vask emhætten,2024-11-16,2024-9-7,6,,
Rens ovn,2024-12-21,2024-9-28,8,,
Tøm køkkenskabe og skuffer og gør disse rene,2024-10-19,2024-7-20,12,dominant,
Vask køleskabet af,2024-12-21,2024-8-31,12,,
Tør døre og dørkarme af,2025-01-04,2024-9-14,12,,
